id,label
0,3
1,3
2,3
3,3
4,4
5,5
6,0
7,6
8,4
9,6
10,0
11,3
12,3
13,6
14,4
15,3
16,3
17,6
18,0
19,4
20,0
21,3
22,4
23,4
24,4
25,5
26,3
27,6
28,0
29,5
30,2
31,5
32,6
33,3
34,2
35,0
36,1
37,3
38,0
39,4
40,5
41,5
42,4
43,3
44,4
45,4
46,6
47,3
48,3
49,0
50,3
51,4
52,2
53,4
54,1
55,0
56,5
57,3
58,4
59,5
60,3
61,4
62,6
63,3
64,5
65,0
66,0
67,6
68,0
69,0
70,2
71,4
72,6
73,4
74,5
75,3
76,4
77,0
78,3
79,6
80,0
81,3
82,2
83,3
84,3
85,6
86,5
87,3
88,3
89,3
90,6
91,4
92,4
93,0
94,4
95,6
96,0
97,3
98,5
99,0
100,2
101,3
102,3
103,6
104,0
105,3
106,5
107,4
108,0
109,4
110,3
111,3
112,3
113,3
114,0
115,3
116,4
117,6
118,3
119,3
120,0
121,3
122,2
123,6
124,3
125,5
126,2
127,3
128,0
129,6
130,3
131,3
132,3
133,4
134,2
135,3
136,4
137,0
138,0
139,3
140,5
141,3
142,6
143,2
144,6
145,4
146,4
147,4
148,2
149,4
150,3
151,3
152,4
153,4
154,5
155,4
156,0
157,6
158,6
159,0
160,4
161,0
162,6
163,6
164,6
165,2
166,6
167,0
168,0
169,0
170,0
171,5
172,6
173,3
174,6
175,4
176,6
177,0
178,3
179,2
180,4
181,6
182,6
183,0
184,6
185,4
186,4
187,2
188,4
189,6
190,5
191,6
192,3
193,2
194,5
195,6
196,4
197,4
198,3
199,5
200,4
201,5
202,3
203,3
204,6
205,4
206,4
207,3
208,3
209,2
210,6
211,2
212,0
213,2
214,3
215,6
216,3
217,5
218,4
219,2
220,5
221,4
222,0
223,0
224,0
225,4
226,0
227,0
228,4
229,0
230,0
231,5
232,6
233,3
234,0
235,0
236,3
237,3
238,0
239,3
240,5
241,5
242,4
243,3
244,6
245,0
246,6
247,4
248,3
249,4
250,3
251,0
252,5
253,2
254,2
255,6
256,5
257,6
258,3
259,4
260,5
261,4
262,6
263,6
264,5
265,4
266,5
267,0
268,3
269,5
270,3
271,3
272,3
273,6
274,4
275,6
276,2
277,0
278,5
279,0
280,1
281,5
282,1
283,4
284,0
285,4
286,2
287,4
288,3
289,5
290,2
291,3
292,3
293,0
294,3
295,6
296,3
297,0
298,0
299,6
300,5
301,4
302,4
303,3
304,5
305,3
306,2
307,3
308,0
309,5
310,3
311,5
312,3
313,5
314,4
315,6
316,0
317,6
318,0
319,0
320,0
321,4
322,0
323,6
324,6
325,4
326,0
327,6
328,4
329,6
330,3
331,6
332,5
333,2
334,4
335,3
336,4
337,6
338,0
339,3
340,3
341,0
342,3
343,3
344,3
345,3
346,4
347,3
348,0
349,0
350,0
351,0
352,0
353,4
354,3
355,5
356,6
357,4
358,2
359,0
360,3
361,5
362,5
363,6
364,2
365,5
366,3
367,4
368,1
369,3
370,3
371,2
372,4
373,3
374,6
375,5
376,6
377,4
378,3
379,6
380,2
381,0
382,2
383,4
384,5
385,3
386,3
387,0
388,0
389,0
390,4
391,5
392,6
393,3
394,6
395,0
396,3
397,0
398,4
399,1
400,3
401,6
402,6
403,4
404,4
405,6
406,0
407,3
408,0
409,3
410,2
411,4
412,6
413,6
414,2
415,4
416,5
417,0
418,3
419,3
420,4
421,4
422,0
423,6
424,5
425,4
426,6
427,6
428,3
429,6
430,3
431,4
432,0
433,3
434,4
435,6
436,2
437,1
438,4
439,3
440,0
441,3
442,0
443,0
444,6
445,2
446,6
447,0
448,0
449,6
450,4
451,5
452,2
453,5
454,6
455,6
456,6
457,0
458,3
459,0
460,3
461,0
462,3
463,6
464,3
465,6
466,2
467,2
468,3
469,3
470,4
471,0
472,2
473,0
474,3
475,5
476,0
477,5
478,4
479,6
480,6
481,3
482,4
483,2
484,4
485,4
486,6
487,3
488,6
489,2
490,4
491,4
492,5
493,2
494,2
495,4
496,4
497,3
498,0
499,4
500,4
501,0
502,3
503,4
504,2
505,4
506,5
507,3
508,6
509,2
510,5
511,6
512,6
513,6
514,6
515,0
516,0
517,2
518,0
519,1
520,3
521,4
522,6
523,1
524,0
525,5
526,6
527,4
528,0
529,4
530,5
531,4
532,6
533,0
534,3
535,3
536,0
537,5
538,5
539,0
540,0
541,4
542,0
543,0
544,6
545,0
546,0
547,3
548,1
549,4
550,3
551,3
552,2
553,2
554,0
555,2
556,0
557,5
558,0
559,5
560,5
561,3
562,4
563,3
564,4
565,4
566,6
567,4
568,6
569,2
570,3
571,3
572,5
573,5
574,0
575,5
576,3
577,4
578,5
579,0
580,0
581,3
582,4
583,5
584,6
585,3
586,4
587,4
588,0
589,4
590,0
591,6
592,5
593,6
594,2
595,3
596,6
597,6
598,4
599,6
600,6
601,0
602,4
603,6
604,6
605,0
606,6
607,4
608,2
609,4
610,5
611,3
612,5
613,3
614,2
615,4
616,4
617,3
618,4
619,5
620,6
621,3
622,2
623,2
624,2
625,6
626,6
627,3
628,6
629,5
630,5
631,3
632,3
633,0
634,3
635,2
636,6
637,0
638,4
639,5
640,3
641,3
642,4
643,3
644,5
645,0
646,4
647,3
648,3
649,0
650,4
651,5
652,0
653,5
654,0
655,2
656,0
657,6
658,3
659,6
660,2
661,3
662,3
663,2
664,3
665,6
666,0
667,2
668,4
669,4
670,4
671,0
672,3
673,3
674,3
675,4
676,2
677,0
678,2
679,3
680,2
681,3
682,4
683,0
684,4
685,3
686,3
687,2
688,3
689,4
690,3
691,3
692,0
693,3
694,4
695,2
696,0
697,0
698,0
699,5
700,4
701,5
702,0
703,5
704,3
705,0
706,3
707,4
708,2
709,2
710,2
711,3
712,5
713,5
714,4
715,4
716,3
717,4
718,6
719,4
720,3
721,3
722,5
723,0
724,3
725,5
726,3
727,0
728,6
729,3
730,4
731,2
732,5
733,6
734,2
735,3
736,6
737,4
738,3
739,0
740,0
741,0
742,6
743,4
744,2
745,3
746,2
747,3
748,4
749,3
750,6
751,0
752,3
753,5
754,3
755,2
756,6
757,4
758,3
759,3
760,6
761,4
762,3
763,5
764,6
765,5
766,3
767,5
768,6
769,0
770,3
771,3
772,3
773,0
774,0
775,4
776,6
777,3
778,3
779,0
780,2
781,0
782,4
783,6
784,6
785,4
786,2
787,3
788,3
789,0
790,6
791,3
792,2
793,3
794,3
795,3
796,3
797,4
798,0
799,6
800,3
801,3
802,3
803,0
804,6
805,5
806,4
807,0
808,0
809,2
810,0
811,2
812,3
813,0
814,4
815,5
816,3
817,6
818,4
819,3
820,6
821,3
822,0
823,3
824,3
825,3
826,6
827,6
828,2
829,3
830,3
831,2
832,4
833,4
834,3
835,0
836,4
837,3
838,4
839,6
840,6
841,0
842,2
843,2
844,0
845,3
846,4
847,3
848,5
849,3
850,2
851,2
852,5
853,4
854,4
855,4
856,2
857,5
858,4
859,6
860,6
861,3
862,6
863,0
864,3
865,3
866,4
867,4
868,2
869,0
870,4
871,6
872,3
873,4
874,0
875,5
876,3
877,0
878,0
879,0
880,3
881,4
