epoch,acc,loss,lr,val_acc,val_loss
0,0.43885216346153844,2.5086710835114503,0.001,0.4645,2.434202231216431
1,0.5862771739130435,1.9261731037963032,0.001,0.5189,2.024304047393799
2,0.6475946054750402,1.6543484219798335,0.001,0.5274,1.9996723739624023
3,0.689789653784219,1.4723511698165377,0.001,0.5835,1.78918300075531
4,0.723052536231884,1.335868814525205,0.001,0.7009,1.3845844020843505
5,0.7533212560386473,1.2256690494104283,0.001,0.6992,1.3917123851776123
6,0.7694494766505636,1.148401613396723,0.001,0.7363,1.2267189357757569
7,0.7842693236714976,1.0830619991689487,0.001,0.7146,1.3305602130889893
8,0.8010768921095008,1.026439068398038,0.001,0.7045,1.3039087562561036
9,0.8118206521739131,0.980644359488802,0.001,0.7482,1.18899473361969
10,0.8196960547504025,0.9421573017338432,0.001,0.779,1.0672930027008056
11,0.8298359500805152,0.9037313464183162,0.001,0.7242,1.2177482509613038
12,0.838491344605475,0.8706337360368259,0.001,0.7653,1.1169951793670654
13,0.8408061594202898,0.8527292560264108,0.001,0.7758,1.027588563156128
14,0.8493609098228664,0.8234079577112735,0.001,0.7068,1.383775298309326
15,0.8534621578099839,0.801735976084035,0.001,0.7261,1.2411582611083984
16,0.8562550322061192,0.7869544624322471,0.001,0.7411,1.2664781356811523
17,0.8650110708534622,0.75294706998048,0.001,0.805,0.9284141675949097
18,0.8685587761674718,0.7377123267370338,0.001,0.7409,1.159710729598999
19,0.869741344605475,0.7254936025146509,0.001,0.8075,0.9262664728164672
